latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,bright_t31,frp,type
-77.525818,167.174362,325.7,0.39,0.36,2012-05-09,1054,N,n,238.4,4.92,2
-77.527962,167.161911,328.97,0.39,0.36,2012-05-09,1054,N,n,242.5,4.92,2
-77.525269,167.167633,331.07,0.47,0.4,2012-05-09,1234,N,n,242.78,9.77,2
-77.527267,167.17334,324.44,0.34,0.56,2012-05-09,1415,N,n,234.04,2.16,2
-77.527405,167.153549,324.27,0.47,0.4,2012-05-10,354,N,n,239.34,6.54,2
-77.52681,167.17363,322.95,0.44,0.39,2012-05-12,637,N,n,244.43,3.61,2
-77.526649,167.162552,339.58,0.5,0.41,2012-05-12,817,N,n,247.01,7.43,2
-77.524536,167.16272,323.41,0.44,0.38,2012-05-12,957,N,n,245.76,2.99,2
-77.528114,167.163101,327.55,0.39,0.36,2012-05-12,1138,N,n,247.37,3.99,2
-77.525482,167.173248,327.69,0.39,0.36,2012-05-12,1138,N,n,246.45,3.64,2
-77.525848,167.166702,336.25,0.42,0.45,2012-05-12,1318,N,n,246.52,6.27,2
-77.527008,167.171356,326.49,0.4,0.37,2012-05-13,438,N,n,244.72,7.29,2
-77.526054,167.17778,327.89,0.42,0.38,2012-05-13,619,N,n,242.45,6.97,2
-77.524384,167.163116,320.63,0.42,0.38,2012-05-13,619,N,n,237.09,2.85,2
-77.52607,167.161987,328.5,0.5,0.41,2012-05-13,759,N,n,243,8.69,2
-77.524414,167.16481,325.22,0.45,0.39,2012-05-13,939,N,n,240.83,4.02,2
-77.528717,167.166916,323.75,0.38,0.36,2012-05-13,1119,N,n,239.36,8.1,2
-77.526001,167.178268,326.45,0.55,0.43,2012-05-13,1259,N,n,241.12,8.38,2
-77.524406,167.160004,320.21,0.55,0.43,2012-05-13,1259,N,n,235.5,7.24,2
-77.5261,167.1716,323.69,0.42,0.38,2012-05-14,419,N,n,232.61,4.7,2
-77.525787,167.176697,325.33,0.41,0.37,2012-05-14,600,N,n,237.33,4.53,2
-77.526138,167.162582,327.8,0.49,0.4,2012-05-14,740,N,n,237.07,4.79,2
-77.526154,167.165649,331.52,0.47,0.4,2012-05-14,920,N,n,236.37,4.33,2
-77.526375,167.162552,327.47,0.47,0.4,2012-05-14,920,N,n,237.42,4.64,2
-77.52655,167.166687,329.99,0.39,0.37,2012-05-15,541,N,n,241.84,3.75,2
-77.527168,167.17392,324.21,0.48,0.4,2012-05-15,901,N,n,235.19,3.19,2
-77.524857,167.163818,329.06,0.4,0.37,2012-05-15,1041,N,n,240.57,5,2
-77.52536,167.156265,324.79,0.4,0.37,2012-05-15,1041,N,n,239.55,4.37,2
-77.527901,167.172012,325.39,0.44,0.38,2012-05-15,1222,N,n,242.4,5.75,2
-86.228157,-156.901443,336.4,0.45,0.47,2012-05-16,842,N,n,236.81,0.09,0
-77.527908,167.168839,327.25,0.41,0.37,2012-05-16,1203,N,n,239.38,3.49,2
-77.525993,167.17807,333.19,0.51,0.5,2012-05-16,1344,N,n,238.12,3.38,2
-77.527367,167.159821,320.89,0.41,0.37,2012-05-19,606,N,n,238.67,4,2
-77.524162,167.169006,324.65,0.41,0.37,2012-05-19,606,N,n,237.41,4,2
-77.525734,167.167435,338.49,0.41,0.37,2012-05-19,606,N,n,243.05,8.36,2
-77.527428,167.165771,327.64,0.39,0.36,2012-05-19,1106,N,n,241.5,3.29,2
-77.528328,167.169708,329.22,0.5,0.41,2012-05-19,1247,N,n,242.19,10.26,2
-77.527969,167.166565,323.56,0.44,0.38,2012-05-20,407,N,n,237.22,2.41,2
-77.525864,167.163223,325.8,0.4,0.37,2012-05-20,547,N,n,235.54,4.56,2
-77.527519,167.166306,324.47,0.43,0.38,2012-05-22,1010,N,n,239.91,4.07,2
-77.526535,167.173874,324.87,0.39,0.36,2012-05-23,451,N,n,238.95,4.52,2
-77.524864,167.177002,324.47,0.44,0.38,2012-05-23,631,N,n,238.53,3.83,2
-77.526794,167.163544,335.44,0.4,0.44,2012-05-23,1312,N,n,237.55,4.38,2
-77.52877,167.166168,334.08,0.4,0.37,2012-05-24,432,N,n,237.69,5.36,2
-77.527016,167.171844,326.15,0.42,0.38,2012-05-24,612,N,n,236.93,2.91,2
-77.524483,167.167343,325.1,0.46,0.39,2012-05-24,932,N,n,234.07,2.81,2
-77.526482,167.168503,329.94,0.38,0.36,2012-05-24,1112,N,n,236.62,6.37,2
-77.52755,167.165009,329.16,0.43,0.38,2012-05-25,413,N,n,237.66,7.94,2
